stationName,Month,Monthly_Mean_Dewpoint
Burari OJB Ex. Eng Office,2020-01-31,282.1769104003906
Burari OJB Ex. Eng Office,2020-02-29,283.2362060546875
Burari OJB Ex. Eng Office,2020-03-31,287.39801025390625
Burari OJB Ex. Eng Office,2020-04-30,287.14801025390625
Burari OJB Ex. Eng Office,2020-05-31,288.81658935546875
Burari OJB Ex. Eng Office,2020-06-30,295.7385559082031
Burari OJB Ex. Eng Office,2020-07-31,298.1318054199219
Burari OJB Ex. Eng Office,2020-08-31,298.5151672363281
Burari OJB Ex. Eng Office,2020-09-30,296.1079406738281
Burari OJB Ex. Eng Office,2020-10-31,286.9241027832031
Burari OJB Ex. Eng Office,2020-11-30,283.22308349609375
Burari OJB Ex. Eng Office,2020-12-31,281.2703857421875
Burari OJB Ex. Eng Office,2021-01-31,282.2074279785156
Burari OJB Ex. Eng Office,2021-02-28,284.15374755859375
Burari OJB Ex. Eng Office,2021-03-31,284.6186218261719
Burari OJB Ex. Eng Office,2021-04-30,279.52667236328125
Burari OJB Ex. Eng Office,2021-05-31,290.1488037109375
Burari OJB Ex. Eng Office,2021-06-30,294.42852783203125
Burari OJB Ex. Eng Office,2021-07-31,297.07232666015625
Burari OJB Ex. Eng Office,2021-08-31,297.5815124511719
Burari OJB Ex. Eng Office,2021-09-30,297.62225341796875
Burari OJB Ex. Eng Office,2021-10-31,291.8819580078125
Burari OJB Ex. Eng Office,2021-11-30,285.003662109375
Burari OJB Ex. Eng Office,2021-12-31,282.0108337402344
Burari OJB Ex. Eng Office,2022-01-31,282.5508117675781
Burari OJB Ex. Eng Office,2022-02-28,283.39398193359375
Burari OJB Ex. Eng Office,2022-03-31,286.6304931640625
Burari OJB Ex. Eng Office,2022-04-30,282.0605773925781
Burari OJB Ex. Eng Office,2022-05-31,291.1157531738281
Burari OJB Ex. Eng Office,2022-06-30,290.6199645996094
Burari OJB Ex. Eng Office,2022-07-31,298.5749816894531
Burari OJB Ex. Eng Office,2022-08-31,297.6288757324219
Burari OJB Ex. Eng Office,2022-09-30,296.3078918457031
Burari OJB Ex. Eng Office,2022-10-31,291.7415771484375
Burari OJB Ex. Eng Office,2022-11-30,285.8581237792969
Burari OJB Ex. Eng Office,2022-12-31,281.78924560546875
Burari OJB Ex. Eng Office,2023-01-31,281.3632507324219
Burari OJB Ex. Eng Office,2023-02-28,283.22015380859375
Burari OJB Ex. Eng Office,2023-03-31,287.12591552734375
Burari OJB Ex. Eng Office,2023-04-30,283.9438781738281
Burari OJB Ex. Eng Office,2023-05-31,288.4158630371094
Burari OJB Ex. Eng Office,2023-06-30,293.9679260253906
Burari OJB Ex. Eng Office,2023-07-31,298.8924865722656
Burari OJB Ex. Eng Office,2023-08-31,297.2557067871094
Burari OJB Ex. Eng Office,2023-09-30,296.44085693359375
Burari OJB Ex. Eng Office,2023-10-31,288.7038269042969
Burari OJB Ex. Eng Office,2023-11-30,286.9524230957031
Burari OJB Ex. Eng Office,2023-12-31,283.22564697265625
Delhi Central CIVIL LINES Burari AugurPz,2020-01-31,282.1075744628906
Delhi Central CIVIL LINES Burari AugurPz,2020-02-29,283.2987060546875
Delhi Central CIVIL LINES Burari AugurPz,2020-03-31,287.31866455078125
Delhi Central CIVIL LINES Burari AugurPz,2020-04-30,287.2315368652344
Delhi Central CIVIL LINES Burari AugurPz,2020-05-31,288.90777587890625
Delhi Central CIVIL LINES Burari AugurPz,2020-06-30,295.82208251953125
Delhi Central CIVIL LINES Burari AugurPz,2020-07-31,298.1029052734375
Delhi Central CIVIL LINES Burari AugurPz,2020-08-31,298.4629821777344
Delhi Central CIVIL LINES Burari AugurPz,2020-09-30,296.0722351074219
Delhi Central CIVIL LINES Burari AugurPz,2020-10-31,287.3745422363281
Delhi Central CIVIL LINES Burari AugurPz,2020-11-30,283.43280029296875
Delhi Central CIVIL LINES Burari AugurPz,2020-12-31,281.5448913574219
Delhi Central CIVIL LINES Burari AugurPz,2021-01-31,282.2513732910156
Delhi Central CIVIL LINES Burari AugurPz,2021-02-28,284.56427001953125
Delhi Central CIVIL LINES Burari AugurPz,2021-03-31,285.0394287109375
Delhi Central CIVIL LINES Burari AugurPz,2021-04-30,279.9864501953125
Delhi Central CIVIL LINES Burari AugurPz,2021-05-31,290.0667419433594
Delhi Central CIVIL LINES Burari AugurPz,2021-06-30,294.4905090332031
Delhi Central CIVIL LINES Burari AugurPz,2021-07-31,297.0806884765625
Delhi Central CIVIL LINES Burari AugurPz,2021-08-31,297.5547180175781
Delhi Central CIVIL LINES Burari AugurPz,2021-09-30,297.57342529296875
Delhi Central CIVIL LINES Burari AugurPz,2021-10-31,291.8328857421875
Delhi Central CIVIL LINES Burari AugurPz,2021-11-30,284.9893798828125
Delhi Central CIVIL LINES Burari AugurPz,2021-12-31,282.0089111328125
Delhi Central CIVIL LINES Burari AugurPz,2022-01-31,282.50836181640625
Delhi Central CIVIL LINES Burari AugurPz,2022-02-28,283.4089050292969
Delhi Central CIVIL LINES Burari AugurPz,2022-03-31,286.9997253417969
Delhi Central CIVIL LINES Burari AugurPz,2022-04-30,282.72039794921875
Delhi Central CIVIL LINES Burari AugurPz,2022-05-31,291.4543151855469
Delhi Central CIVIL LINES Burari AugurPz,2022-06-30,290.982177734375
Delhi Central CIVIL LINES Burari AugurPz,2022-07-31,298.5058288574219
Delhi Central CIVIL LINES Burari AugurPz,2022-08-31,297.6369323730469
Delhi Central CIVIL LINES Burari AugurPz,2022-09-30,296.43890380859375
Delhi Central CIVIL LINES Burari AugurPz,2022-10-31,291.6785888671875
Delhi Central CIVIL LINES Burari AugurPz,2022-11-30,285.888671875
Delhi Central CIVIL LINES Burari AugurPz,2022-12-31,281.886474609375
Delhi Central CIVIL LINES Burari AugurPz,2023-01-31,281.4338073730469
Delhi Central CIVIL LINES Burari AugurPz,2023-02-28,283.47125244140625
Delhi Central CIVIL LINES Burari AugurPz,2023-03-31,287.207763671875
Delhi Central CIVIL LINES Burari AugurPz,2023-04-30,284.0677185058594
Delhi Central CIVIL LINES Burari AugurPz,2023-05-31,288.3583679199219
Delhi Central CIVIL LINES Burari AugurPz,2023-06-30,294.0137023925781
Delhi Central CIVIL LINES Burari AugurPz,2023-07-31,298.81536865234375
Delhi Central CIVIL LINES Burari AugurPz,2023-08-31,297.2624206542969
Delhi Central CIVIL LINES Burari AugurPz,2023-09-30,296.43670654296875
Delhi Central CIVIL LINES Burari AugurPz,2023-10-31,288.7676086425781
Delhi Central CIVIL LINES Burari AugurPz,2023-11-30,286.9413757324219
Delhi Central CIVIL LINES Burari AugurPz,2023-12-31,283.2424011230469
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-01-31,282.1769104003906
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-02-29,283.2362060546875
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-03-31,287.39801025390625
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-04-30,287.14801025390625
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-05-31,288.81658935546875
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-06-30,295.7385559082031
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-07-31,298.1318054199219
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-08-31,298.5151672363281
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-09-30,296.1079406738281
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-10-31,286.9241027832031
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-11-30,283.22308349609375
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-12-31,281.2703857421875
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-01-31,282.2074279785156
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-02-28,284.15374755859375
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-03-31,284.6186218261719
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-04-30,279.52667236328125
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-05-31,290.1488037109375
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-06-30,294.42852783203125
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-07-31,297.07232666015625
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-08-31,297.5815124511719
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-09-30,297.62225341796875
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-10-31,291.8819580078125
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-11-30,285.003662109375
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-12-31,282.0108337402344
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-01-31,282.5508117675781
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-02-28,283.39398193359375
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-03-31,286.6304931640625
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-04-30,282.0605773925781
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-05-31,291.1157531738281
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-06-30,290.6199645996094
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-07-31,298.5749816894531
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-08-31,297.6288757324219
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-09-30,296.3078918457031
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-10-31,291.7415771484375
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-11-30,285.8581237792969
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-12-31,281.78924560546875
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-01-31,281.3632507324219
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-02-28,283.22015380859375
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-03-31,287.12591552734375
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-04-30,283.9438781738281
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-05-31,288.4158630371094
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-06-30,293.9679260253906
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-07-31,298.8924865722656
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-08-31,297.2557067871094
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-09-30,296.44085693359375
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-10-31,288.7038269042969
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-11-30,286.9524230957031
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-12-31,283.22564697265625
Khela Ghat Bhela road_1,2020-01-31,282.1769104003906
Khela Ghat Bhela road_1,2020-02-29,283.2362060546875
Khela Ghat Bhela road_1,2020-03-31,287.39801025390625
Khela Ghat Bhela road_1,2020-04-30,287.14801025390625
Khela Ghat Bhela road_1,2020-05-31,288.81658935546875
Khela Ghat Bhela road_1,2020-06-30,295.7385559082031
Khela Ghat Bhela road_1,2020-07-31,298.1318054199219
Khela Ghat Bhela road_1,2020-08-31,298.5151672363281
Khela Ghat Bhela road_1,2020-09-30,296.1079406738281
Khela Ghat Bhela road_1,2020-10-31,286.9241027832031
Khela Ghat Bhela road_1,2020-11-30,283.22308349609375
Khela Ghat Bhela road_1,2020-12-31,281.2703857421875
Khela Ghat Bhela road_1,2021-01-31,282.2074279785156
Khela Ghat Bhela road_1,2021-02-28,284.15374755859375
Khela Ghat Bhela road_1,2021-03-31,284.6186218261719
Khela Ghat Bhela road_1,2021-04-30,279.52667236328125
Khela Ghat Bhela road_1,2021-05-31,290.1488037109375
Khela Ghat Bhela road_1,2021-06-30,294.42852783203125
Khela Ghat Bhela road_1,2021-07-31,297.07232666015625
Khela Ghat Bhela road_1,2021-08-31,297.5815124511719
Khela Ghat Bhela road_1,2021-09-30,297.62225341796875
Khela Ghat Bhela road_1,2021-10-31,291.8819580078125
Khela Ghat Bhela road_1,2021-11-30,285.003662109375
Khela Ghat Bhela road_1,2021-12-31,282.0108337402344
Khela Ghat Bhela road_1,2022-01-31,282.5508117675781
Khela Ghat Bhela road_1,2022-02-28,283.39398193359375
Khela Ghat Bhela road_1,2022-03-31,286.6304931640625
Khela Ghat Bhela road_1,2022-04-30,282.0605773925781
Khela Ghat Bhela road_1,2022-05-31,291.1157531738281
Khela Ghat Bhela road_1,2022-06-30,290.6199645996094
Khela Ghat Bhela road_1,2022-07-31,298.5749816894531
Khela Ghat Bhela road_1,2022-08-31,297.6288757324219
Khela Ghat Bhela road_1,2022-09-30,296.3078918457031
Khela Ghat Bhela road_1,2022-10-31,291.7415771484375
Khela Ghat Bhela road_1,2022-11-30,285.8581237792969
Khela Ghat Bhela road_1,2022-12-31,281.78924560546875
Khela Ghat Bhela road_1,2023-01-31,281.3632507324219
Khela Ghat Bhela road_1,2023-02-28,283.22015380859375
Khela Ghat Bhela road_1,2023-03-31,287.12591552734375
Khela Ghat Bhela road_1,2023-04-30,283.9438781738281
Khela Ghat Bhela road_1,2023-05-31,288.4158630371094
Khela Ghat Bhela road_1,2023-06-30,293.9679260253906
Khela Ghat Bhela road_1,2023-07-31,298.8924865722656
Khela Ghat Bhela road_1,2023-08-31,297.2557067871094
Khela Ghat Bhela road_1,2023-09-30,296.44085693359375
Khela Ghat Bhela road_1,2023-10-31,288.7038269042969
Khela Ghat Bhela road_1,2023-11-30,286.9524230957031
Khela Ghat Bhela road_1,2023-12-31,283.22564697265625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-01-31,282.0892639160156
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-02-29,283.0956115722656
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-03-31,287.1913757324219
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-04-30,286.9894714355469
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-05-31,288.8173828125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-06-30,295.5296936035156
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-07-31,297.9644470214844
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-08-31,298.4127197265625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-09-30,296.1481018066406
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-10-31,286.7465515136719
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-11-30,282.8395080566406
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-12-31,281.0148010253906
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-01-31,282.0303649902344
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-02-28,283.7994384765625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-03-31,284.1533508300781
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-04-30,278.8553466796875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-05-31,290.0457763671875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-06-30,294.3973388671875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-07-31,297.0215148925781
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-08-31,297.4492492675781
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-09-30,297.5304260253906
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-10-31,291.7730712890625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-11-30,284.9161376953125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-12-31,281.88299560546875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-01-31,282.38507080078125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-02-28,283.16839599609375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-03-31,286.41827392578125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-04-30,281.5957336425781
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-05-31,290.8046569824219
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-06-30,290.3260803222656
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-07-31,298.3884582519531
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-08-31,297.4488525390625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-09-30,296.17071533203125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-10-31,291.6077575683594
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-11-30,285.7415771484375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-12-31,281.67755126953125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-01-31,281.25213623046875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-02-28,282.97259521484375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-03-31,286.8171081542969
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-04-30,283.5895080566406
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-05-31,288.1329345703125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-06-30,293.8041687011719
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-07-31,298.79290771484375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-08-31,297.1780700683594
