stationName,Month,Monthly_Total_Evap
Burari OJB Ex. Eng Office,2020-01-31,-0.7676053047180176
Burari OJB Ex. Eng Office,2020-02-29,-0.9592546224594116
Burari OJB Ex. Eng Office,2020-03-31,-1.6828209161758423
Burari OJB Ex. Eng Office,2020-04-30,-1.0548433065414429
Burari OJB Ex. Eng Office,2020-05-31,-0.8216840028762817
Burari OJB Ex. Eng Office,2020-06-30,-1.1144840717315674
Burari OJB Ex. Eng Office,2020-07-31,-1.5994737148284912
Burari OJB Ex. Eng Office,2020-08-31,-1.6864583492279053
Burari OJB Ex. Eng Office,2020-09-30,-1.730422854423523
Burari OJB Ex. Eng Office,2020-10-31,-0.579539954662323
Burari OJB Ex. Eng Office,2020-11-30,-0.4463830590248108
Burari OJB Ex. Eng Office,2020-12-31,-0.23291614651679993
Burari OJB Ex. Eng Office,2021-01-31,-0.6195178031921387
Burari OJB Ex. Eng Office,2021-02-28,-0.37430310249328613
Burari OJB Ex. Eng Office,2021-03-31,-0.3225087523460388
Burari OJB Ex. Eng Office,2021-04-30,-0.285812646150589
Burari OJB Ex. Eng Office,2021-05-31,-1.1521387100219727
Burari OJB Ex. Eng Office,2021-06-30,-0.8750144243240356
Burari OJB Ex. Eng Office,2021-07-31,-0.9876117706298828
Burari OJB Ex. Eng Office,2021-08-31,-2.1181881427764893
Burari OJB Ex. Eng Office,2021-09-30,-1.6374794244766235
Burari OJB Ex. Eng Office,2021-10-31,-1.7060060501098633
Burari OJB Ex. Eng Office,2021-11-30,-0.8178073763847351
Burari OJB Ex. Eng Office,2021-12-31,-0.4471908211708069
Burari OJB Ex. Eng Office,2022-01-31,-0.744443416595459
Burari OJB Ex. Eng Office,2022-02-28,-1.091524600982666
Burari OJB Ex. Eng Office,2022-03-31,-0.8108973503112793
Burari OJB Ex. Eng Office,2022-04-30,-0.4883503019809723
Burari OJB Ex. Eng Office,2022-05-31,-0.7926461696624756
Burari OJB Ex. Eng Office,2022-06-30,-0.49615511298179626
Burari OJB Ex. Eng Office,2022-07-31,-1.96053147315979
Burari OJB Ex. Eng Office,2022-08-31,-1.9148170948028564
Burari OJB Ex. Eng Office,2022-09-30,-1.393475890159607
Burari OJB Ex. Eng Office,2022-10-31,-1.5389206409454346
Burari OJB Ex. Eng Office,2022-11-30,-0.796890139579773
Burari OJB Ex. Eng Office,2022-12-31,-0.39291173219680786
Burari OJB Ex. Eng Office,2023-01-31,-0.47454363107681274
Burari OJB Ex. Eng Office,2023-02-28,-0.558945894241333
Burari OJB Ex. Eng Office,2023-03-31,-0.9367085695266724
Burari OJB Ex. Eng Office,2023-04-30,-0.8708103895187378
Burari OJB Ex. Eng Office,2023-05-31,-1.3223530054092407
Burari OJB Ex. Eng Office,2023-06-30,-0.9280131459236145
Burari OJB Ex. Eng Office,2023-07-31,-1.7380231618881226
Burari OJB Ex. Eng Office,2023-08-31,-2.0371198654174805
Burari OJB Ex. Eng Office,2023-09-30,-1.624871015548706
Burari OJB Ex. Eng Office,2023-10-31,-0.8628090620040894
Burari OJB Ex. Eng Office,2023-11-30,-0.3527868390083313
Burari OJB Ex. Eng Office,2023-12-31,-0.27965623140335083
Delhi Central CIVIL LINES Burari AugurPz,2020-01-31,-0.7399464845657349
Delhi Central CIVIL LINES Burari AugurPz,2020-02-29,-1.0527629852294922
Delhi Central CIVIL LINES Burari AugurPz,2020-03-31,-1.6925214529037476
Delhi Central CIVIL LINES Burari AugurPz,2020-04-30,-1.395566463470459
Delhi Central CIVIL LINES Burari AugurPz,2020-05-31,-0.9774965643882751
Delhi Central CIVIL LINES Burari AugurPz,2020-06-30,-1.1739604473114014
Delhi Central CIVIL LINES Burari AugurPz,2020-07-31,-1.5273289680480957
Delhi Central CIVIL LINES Burari AugurPz,2020-08-31,-1.662630319595337
Delhi Central CIVIL LINES Burari AugurPz,2020-09-30,-1.886733055114746
Delhi Central CIVIL LINES Burari AugurPz,2020-10-31,-0.7753015756607056
Delhi Central CIVIL LINES Burari AugurPz,2020-11-30,-0.3740725815296173
Delhi Central CIVIL LINES Burari AugurPz,2020-12-31,-0.2329782247543335
Delhi Central CIVIL LINES Burari AugurPz,2021-01-31,-0.571269154548645
Delhi Central CIVIL LINES Burari AugurPz,2021-02-28,-0.4830736517906189
Delhi Central CIVIL LINES Burari AugurPz,2021-03-31,-0.3245105743408203
Delhi Central CIVIL LINES Burari AugurPz,2021-04-30,-0.2791343927383423
Delhi Central CIVIL LINES Burari AugurPz,2021-05-31,-1.065002202987671
Delhi Central CIVIL LINES Burari AugurPz,2021-06-30,-0.8348042964935303
Delhi Central CIVIL LINES Burari AugurPz,2021-07-31,-0.8942756652832031
Delhi Central CIVIL LINES Burari AugurPz,2021-08-31,-2.222263813018799
Delhi Central CIVIL LINES Burari AugurPz,2021-09-30,-1.679814100265503
Delhi Central CIVIL LINES Burari AugurPz,2021-10-31,-1.7903563976287842
Delhi Central CIVIL LINES Burari AugurPz,2021-11-30,-0.9675698280334473
Delhi Central CIVIL LINES Burari AugurPz,2021-12-31,-0.49075374007225037
Delhi Central CIVIL LINES Burari AugurPz,2022-01-31,-0.7290245294570923
Delhi Central CIVIL LINES Burari AugurPz,2022-02-28,-1.1592621803283691
Delhi Central CIVIL LINES Burari AugurPz,2022-03-31,-1.2877492904663086
Delhi Central CIVIL LINES Burari AugurPz,2022-04-30,-0.6981824636459351
Delhi Central CIVIL LINES Burari AugurPz,2022-05-31,-0.8166764974594116
Delhi Central CIVIL LINES Burari AugurPz,2022-06-30,-0.5770679712295532
Delhi Central CIVIL LINES Burari AugurPz,2022-07-31,-1.8360421657562256
Delhi Central CIVIL LINES Burari AugurPz,2022-08-31,-1.968988299369812
Delhi Central CIVIL LINES Burari AugurPz,2022-09-30,-1.6670114994049072
Delhi Central CIVIL LINES Burari AugurPz,2022-10-31,-1.597572922706604
Delhi Central CIVIL LINES Burari AugurPz,2022-11-30,-0.9889439344406128
Delhi Central CIVIL LINES Burari AugurPz,2022-12-31,-0.5059608221054077
Delhi Central CIVIL LINES Burari AugurPz,2023-01-31,-0.5356873273849487
Delhi Central CIVIL LINES Burari AugurPz,2023-02-28,-0.7767986059188843
Delhi Central CIVIL LINES Burari AugurPz,2023-03-31,-0.9636557698249817
Delhi Central CIVIL LINES Burari AugurPz,2023-04-30,-1.0311172008514404
Delhi Central CIVIL LINES Burari AugurPz,2023-05-31,-1.248840570449829
Delhi Central CIVIL LINES Burari AugurPz,2023-06-30,-0.9311230778694153
Delhi Central CIVIL LINES Burari AugurPz,2023-07-31,-1.6836528778076172
Delhi Central CIVIL LINES Burari AugurPz,2023-08-31,-2.1945931911468506
Delhi Central CIVIL LINES Burari AugurPz,2023-09-30,-1.805635929107666
Delhi Central CIVIL LINES Burari AugurPz,2023-10-31,-1.050185203552246
Delhi Central CIVIL LINES Burari AugurPz,2023-11-30,-0.3412618339061737
Delhi Central CIVIL LINES Burari AugurPz,2023-12-31,-0.2663009762763977
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-01-31,-0.7676053047180176
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-02-29,-0.9592546224594116
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-03-31,-1.6828209161758423
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-04-30,-1.0548433065414429
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-05-31,-0.8216840028762817
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-06-30,-1.1144840717315674
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-07-31,-1.5994737148284912
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-08-31,-1.6864583492279053
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-09-30,-1.730422854423523
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-10-31,-0.579539954662323
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-11-30,-0.4463830590248108
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-12-31,-0.23291614651679993
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-01-31,-0.6195178031921387
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-02-28,-0.37430310249328613
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-03-31,-0.3225087523460388
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-04-30,-0.285812646150589
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-05-31,-1.1521387100219727
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-06-30,-0.8750144243240356
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-07-31,-0.9876117706298828
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-08-31,-2.1181881427764893
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-09-30,-1.6374794244766235
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-10-31,-1.7060060501098633
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-11-30,-0.8178073763847351
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-12-31,-0.4471908211708069
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-01-31,-0.744443416595459
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-02-28,-1.091524600982666
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-03-31,-0.8108973503112793
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-04-30,-0.4883503019809723
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-05-31,-0.7926461696624756
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-06-30,-0.49615511298179626
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-07-31,-1.96053147315979
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-08-31,-1.9148170948028564
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-09-30,-1.393475890159607
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-10-31,-1.5389206409454346
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-11-30,-0.796890139579773
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-12-31,-0.39291173219680786
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-01-31,-0.47454363107681274
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-02-28,-0.558945894241333
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-03-31,-0.9367085695266724
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-04-30,-0.8708103895187378
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-05-31,-1.3223530054092407
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-06-30,-0.9280131459236145
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-07-31,-1.7380231618881226
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-08-31,-2.0371198654174805
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-09-30,-1.624871015548706
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-10-31,-0.8628090620040894
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-11-30,-0.3527868390083313
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-12-31,-0.27965623140335083
Khela Ghat Bhela road_1,2020-01-31,-0.7676053047180176
Khela Ghat Bhela road_1,2020-02-29,-0.9592546224594116
Khela Ghat Bhela road_1,2020-03-31,-1.6828209161758423
Khela Ghat Bhela road_1,2020-04-30,-1.0548433065414429
Khela Ghat Bhela road_1,2020-05-31,-0.8216840028762817
Khela Ghat Bhela road_1,2020-06-30,-1.1144840717315674
Khela Ghat Bhela road_1,2020-07-31,-1.5994737148284912
Khela Ghat Bhela road_1,2020-08-31,-1.6864583492279053
Khela Ghat Bhela road_1,2020-09-30,-1.730422854423523
Khela Ghat Bhela road_1,2020-10-31,-0.579539954662323
Khela Ghat Bhela road_1,2020-11-30,-0.4463830590248108
Khela Ghat Bhela road_1,2020-12-31,-0.23291614651679993
Khela Ghat Bhela road_1,2021-01-31,-0.6195178031921387
Khela Ghat Bhela road_1,2021-02-28,-0.37430310249328613
Khela Ghat Bhela road_1,2021-03-31,-0.3225087523460388
Khela Ghat Bhela road_1,2021-04-30,-0.285812646150589
Khela Ghat Bhela road_1,2021-05-31,-1.1521387100219727
Khela Ghat Bhela road_1,2021-06-30,-0.8750144243240356
Khela Ghat Bhela road_1,2021-07-31,-0.9876117706298828
Khela Ghat Bhela road_1,2021-08-31,-2.1181881427764893
Khela Ghat Bhela road_1,2021-09-30,-1.6374794244766235
Khela Ghat Bhela road_1,2021-10-31,-1.7060060501098633
Khela Ghat Bhela road_1,2021-11-30,-0.8178073763847351
Khela Ghat Bhela road_1,2021-12-31,-0.4471908211708069
Khela Ghat Bhela road_1,2022-01-31,-0.744443416595459
Khela Ghat Bhela road_1,2022-02-28,-1.091524600982666
Khela Ghat Bhela road_1,2022-03-31,-0.8108973503112793
Khela Ghat Bhela road_1,2022-04-30,-0.4883503019809723
Khela Ghat Bhela road_1,2022-05-31,-0.7926461696624756
Khela Ghat Bhela road_1,2022-06-30,-0.49615511298179626
Khela Ghat Bhela road_1,2022-07-31,-1.96053147315979
Khela Ghat Bhela road_1,2022-08-31,-1.9148170948028564
Khela Ghat Bhela road_1,2022-09-30,-1.393475890159607
Khela Ghat Bhela road_1,2022-10-31,-1.5389206409454346
Khela Ghat Bhela road_1,2022-11-30,-0.796890139579773
Khela Ghat Bhela road_1,2022-12-31,-0.39291173219680786
Khela Ghat Bhela road_1,2023-01-31,-0.47454363107681274
Khela Ghat Bhela road_1,2023-02-28,-0.558945894241333
Khela Ghat Bhela road_1,2023-03-31,-0.9367085695266724
Khela Ghat Bhela road_1,2023-04-30,-0.8708103895187378
Khela Ghat Bhela road_1,2023-05-31,-1.3223530054092407
Khela Ghat Bhela road_1,2023-06-30,-0.9280131459236145
Khela Ghat Bhela road_1,2023-07-31,-1.7380231618881226
Khela Ghat Bhela road_1,2023-08-31,-2.0371198654174805
Khela Ghat Bhela road_1,2023-09-30,-1.624871015548706
Khela Ghat Bhela road_1,2023-10-31,-0.8628090620040894
Khela Ghat Bhela road_1,2023-11-30,-0.3527868390083313
Khela Ghat Bhela road_1,2023-12-31,-0.27965623140335083
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-01-31,-0.7593767642974854
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-02-29,-1.0697414875030518
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-03-31,-1.674594521522522
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-04-30,-1.4388649463653564
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-05-31,-1.0992190837860107
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-06-30,-1.2001851797103882
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-07-31,-1.5744819641113281
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2020-08-31,-1.7322351932525635
