stationName,Month,Monthly_Mean_GWL
Alipur Garhi Pz_1,2020-08-31,9.01
Asola Pz,2020-01-31,52.12
Asola Pz,2020-02-29,
Asola Pz,2020-03-31,
Asola Pz,2020-04-30,
Asola Pz,2020-05-31,
Asola Pz,2020-06-30,
Asola Pz,2020-07-31,
Asola Pz,2020-08-31,52.05
Asola Pz,2020-09-30,
Asola Pz,2020-10-31,
Asola Pz,2020-11-30,53.01
Asola Pz,2020-12-31,
Asola Pz,2021-01-31,
Asola Pz,2021-02-28,
Asola Pz,2021-03-31,
Asola Pz,2021-04-30,
Asola Pz,2021-05-31,
Asola Pz,2021-06-30,
Asola Pz,2021-07-31,
Asola Pz,2021-08-31,51.7
Asola Pz,2021-09-30,
Asola Pz,2021-10-31,
Asola Pz,2021-11-30,47.84
Asola Pz,2021-12-31,
Asola Pz,2022-01-31,47.56
Asola Pz,2022-02-28,
Asola Pz,2022-03-31,
Asola Pz,2022-04-30,
Asola Pz,2022-05-31,49.48
Asola Pz,2022-06-30,
Asola Pz,2022-07-31,
Asola Pz,2022-08-31,48.59
Asola Pz,2022-09-30,
Asola Pz,2022-10-31,
Asola Pz,2022-11-30,44.7
Auchandi Pz,2020-01-31,1.71
Auchandi Pz,2020-02-29,
Auchandi Pz,2020-03-31,
Auchandi Pz,2020-04-30,
Auchandi Pz,2020-05-31,
Auchandi Pz,2020-06-30,
Auchandi Pz,2020-07-31,
Auchandi Pz,2020-08-31,0.66
Auchandi Pz,2020-09-30,
Auchandi Pz,2020-10-31,
Auchandi Pz,2020-11-30,3.09
Auchandi Pz,2020-12-31,
Auchandi Pz,2021-01-31,1.96
Auchandi Pz,2021-02-28,
Auchandi Pz,2021-03-31,
Auchandi Pz,2021-04-30,
Auchandi Pz,2021-05-31,
Auchandi Pz,2021-06-30,
Auchandi Pz,2021-07-31,
Auchandi Pz,2021-08-31,0.66
Auchandi Pz,2021-09-30,
Auchandi Pz,2021-10-31,
Auchandi Pz,2021-11-30,0.94
Auchandi Pz,2021-12-31,
Auchandi Pz,2022-01-31,1.39
Auchandi Pz,2022-02-28,
Auchandi Pz,2022-03-31,
Auchandi Pz,2022-04-30,
Auchandi Pz,2022-05-31,2.3
Auchandi Pz,2022-06-30,
Auchandi Pz,2022-07-31,
Auchandi Pz,2022-08-31,1.58
Auchandi Pz,2022-09-30,
Auchandi Pz,2022-10-31,
Auchandi Pz,2022-11-30,1.69
Bakoli -  Shallow Pz,2020-01-31,12.19
Bakoli -  Shallow Pz,2020-02-29,
Bakoli -  Shallow Pz,2020-03-31,
Bakoli -  Shallow Pz,2020-04-30,
Bakoli -  Shallow Pz,2020-05-31,
Bakoli -  Shallow Pz,2020-06-30,
Bakoli -  Shallow Pz,2020-07-31,
Bakoli -  Shallow Pz,2020-08-31,12.85
Bakoli -  Shallow Pz,2020-09-30,
Bakoli -  Shallow Pz,2020-10-31,
Bakoli -  Shallow Pz,2020-11-30,12.94
Bakoli -  Shallow Pz,2020-12-31,
Bakoli -  Shallow Pz,2021-01-31,
Bakoli -  Shallow Pz,2021-02-28,
Bakoli -  Shallow Pz,2021-03-31,
Bakoli -  Shallow Pz,2021-04-30,
Bakoli -  Shallow Pz,2021-05-31,
Bakoli -  Shallow Pz,2021-06-30,
Bakoli -  Shallow Pz,2021-07-31,
Bakoli -  Shallow Pz,2021-08-31,10.56
Bakoli -  Shallow Pz,2021-09-30,
Bakoli -  Shallow Pz,2021-10-31,
Bakoli -  Shallow Pz,2021-11-30,8.18
Bakoli -  Shallow Pz,2021-12-31,
Bakoli -  Shallow Pz,2022-01-31,
Bakoli -  Shallow Pz,2022-02-28,
Bakoli -  Shallow Pz,2022-03-31,
Bakoli -  Shallow Pz,2022-04-30,
Bakoli -  Shallow Pz,2022-05-31,
Bakoli -  Shallow Pz,2022-06-30,
Bakoli -  Shallow Pz,2022-07-31,
Bakoli -  Shallow Pz,2022-08-31,9.34
Bakoli -  Shallow Pz,2022-09-30,
Bakoli -  Shallow Pz,2022-10-31,
Bakoli -  Shallow Pz,2022-11-30,8.8
Bakoli Deep Pz,2023-09-30,11.755708737864078
Bakoli Deep Pz,2023-10-31,10.570382608695652
Bakoli Deep Pz,2023-11-30,10.288230215827339
Bakoli Deep Pz,2023-12-31,10.088934959349594
Bakoli-  Deep Pz,2020-01-31,12.29
Bakoli-  Deep Pz,2020-02-29,
Bakoli-  Deep Pz,2020-03-31,
Bakoli-  Deep Pz,2020-04-30,
Bakoli-  Deep Pz,2020-05-31,
Bakoli-  Deep Pz,2020-06-30,
Bakoli-  Deep Pz,2020-07-31,
Bakoli-  Deep Pz,2020-08-31,13.19
Bakoli-  Deep Pz,2020-09-30,
Bakoli-  Deep Pz,2020-10-31,
Bakoli-  Deep Pz,2020-11-30,13.13
Bakoli-  Deep Pz,2020-12-31,
Bakoli-  Deep Pz,2021-01-31,11.42
Bakoli-  Deep Pz,2021-02-28,
Bakoli-  Deep Pz,2021-03-31,
Bakoli-  Deep Pz,2021-04-30,
Bakoli-  Deep Pz,2021-05-31,
Bakoli-  Deep Pz,2021-06-30,
Bakoli-  Deep Pz,2021-07-31,
Bakoli-  Deep Pz,2021-08-31,10.79
Bakoli-  Deep Pz,2021-09-30,
Bakoli-  Deep Pz,2021-10-31,
Bakoli-  Deep Pz,2021-11-30,8.41
Bakoli-  Deep Pz,2021-12-31,
Bakoli-  Deep Pz,2022-01-31,
Bakoli-  Deep Pz,2022-02-28,
Bakoli-  Deep Pz,2022-03-31,
Bakoli-  Deep Pz,2022-04-30,
Bakoli-  Deep Pz,2022-05-31,8.79
Bakoli-  Deep Pz,2022-06-30,
Bakoli-  Deep Pz,2022-07-31,
Bakoli-  Deep Pz,2022-08-31,10.17
Bakoli-  Deep Pz,2022-09-30,
Bakoli-  Deep Pz,2022-10-31,
Bakoli-  Deep Pz,2022-11-30,9.05
Bakolishallow,2023-08-31,26.058731707317076
Bakolishallow,2023-09-30,14.8585
Bakolishallow,2023-10-31,10.258245283018868
Bakolishallow,2023-11-30,9.961037593984962
Bakolishallow,2023-12-31,9.810426229508197
Balbir Nagar,2020-01-31,22.53
Balbir Nagar,2020-02-29,
Balbir Nagar,2020-03-31,
Balbir Nagar,2020-04-30,
Balbir Nagar,2020-05-31,
Balbir Nagar,2020-06-30,
Balbir Nagar,2020-07-31,
Balbir Nagar,2020-08-31,9.3
Balbir Nagar,2020-09-30,
Balbir Nagar,2020-10-31,
Balbir Nagar,2020-11-30,21.01
Balbir Nagar,2020-12-31,
Balbir Nagar,2021-01-31,21.83
Balbir Nagar,2021-02-28,
Balbir Nagar,2021-03-31,
Balbir Nagar,2021-04-30,
Balbir Nagar,2021-05-31,
Balbir Nagar,2021-06-30,
Balbir Nagar,2021-07-31,
Balbir Nagar,2021-08-31,11.45
Balbir Nagar,2021-09-30,
Balbir Nagar,2021-10-31,
Balbir Nagar,2021-11-30,14.44
Balbir Nagar,2021-12-31,
Balbir Nagar,2022-01-31,19.27
Balbir Nagar,2022-02-28,
Balbir Nagar,2022-03-31,
Balbir Nagar,2022-04-30,
Balbir Nagar,2022-05-31,23.08
Balbir Nagar,2022-06-30,
Balbir Nagar,2022-07-31,
Balbir Nagar,2022-08-31,14.81
Balbir Nagar,2022-09-30,
Balbir Nagar,2022-10-31,
Balbir Nagar,2022-11-30,16.0
Balswa Lake,2020-01-31,2.33
Balswa Lake,2020-02-29,
Balswa Lake,2020-03-31,
Balswa Lake,2020-04-30,
Balswa Lake,2020-05-31,
Balswa Lake,2020-06-30,
Balswa Lake,2020-07-31,
Balswa Lake,2020-08-31,0.49
Balswa Lake,2020-09-30,
Balswa Lake,2020-10-31,
Balswa Lake,2020-11-30,2.95
Balswa Lake,2020-12-31,
Balswa Lake,2021-01-31,1.66
Balswa Lake,2021-02-28,
Balswa Lake,2021-03-31,
Balswa Lake,2021-04-30,
Balswa Lake,2021-05-31,
Balswa Lake,2021-06-30,
Balswa Lake,2021-07-31,
Balswa Lake,2021-08-31,
Balswa Lake,2021-09-30,
Balswa Lake,2021-10-31,
Balswa Lake,2021-11-30,0.9
Balswa Lake,2021-12-31,
Balswa Lake,2022-01-31,1.41
Bank Enclave Pz_1,2020-01-31,3.88
Bank Enclave Pz_1,2020-02-29,
Bank Enclave Pz_1,2020-03-31,
Bank Enclave Pz_1,2020-04-30,
Bank Enclave Pz_1,2020-05-31,3.9
Bank Enclave Pz_1,2020-06-30,
Bank Enclave Pz_1,2020-07-31,
Bank Enclave Pz_1,2020-08-31,3.39
Bank Enclave Pz_1,2020-09-30,
Bank Enclave Pz_1,2020-10-31,
Bank Enclave Pz_1,2020-11-30,5.35
Bank Enclave Pz_1,2020-12-31,
Bank Enclave Pz_1,2021-01-31,4.15
Bank Enclave Pz_1,2021-02-28,
Bank Enclave Pz_1,2021-03-31,
Bank Enclave Pz_1,2021-04-30,
Bank Enclave Pz_1,2021-05-31,4.69
Bank Enclave Pz_1,2021-06-30,
Bank Enclave Pz_1,2021-07-31,
Bank Enclave Pz_1,2021-08-31,3.2
Bank Enclave Pz_1,2021-09-30,
Bank Enclave Pz_1,2021-10-31,
Bank Enclave Pz_1,2021-11-30,2.77
Bank Enclave Pz_1,2021-12-31,
Bank Enclave Pz_1,2022-01-31,3.0
Bank Enclave Pz_1,2022-02-28,
Bank Enclave Pz_1,2022-03-31,
Bank Enclave Pz_1,2022-04-30,
Bank Enclave Pz_1,2022-05-31,3.75
Bank Enclave Pz_1,2022-06-30,
Bank Enclave Pz_1,2022-07-31,
Bank Enclave Pz_1,2022-08-31,3.6
Bank Enclave Pz_1,2022-09-30,
Bank Enclave Pz_1,2022-10-31,
Bank Enclave Pz_1,2022-11-30,3.08
Bankner Dw,2021-08-31,23.8
Bankner-Pz,2020-01-31,23.65
Bankner-Pz,2020-02-29,
Bankner-Pz,2020-03-31,
Bankner-Pz,2020-04-30,
Bankner-Pz,2020-05-31,
Bankner-Pz,2020-06-30,
Bankner-Pz,2020-07-31,
Bankner-Pz,2020-08-31,24.99
Bankner-Pz,2020-09-30,
Bankner-Pz,2020-10-31,
Bankner-Pz,2020-11-30,25.11
Bankner-Pz,2020-12-31,
Bankner-Pz,2021-01-31,23.54
Bankner-Pz,2021-02-28,
Bankner-Pz,2021-03-31,
Bankner-Pz,2021-04-30,
Bankner-Pz,2021-05-31,
Bankner-Pz,2021-06-30,
Bankner-Pz,2021-07-31,
Bankner-Pz,2021-08-31,
Bankner-Pz,2021-09-30,
Bankner-Pz,2021-10-31,
Bankner-Pz,2021-11-30,19.78
Bankner-Pz,2021-12-31,
Bankner-Pz,2022-01-31,24.75
Bankner-Pz,2022-02-28,
Bankner-Pz,2022-03-31,
Bankner-Pz,2022-04-30,
Bankner-Pz,2022-05-31,18.55
Bankner-Pz,2022-06-30,
Bankner-Pz,2022-07-31,
Bankner-Pz,2022-08-31,20.33
Bankner-Pz,2022-09-30,
Bankner-Pz,2022-10-31,
Bankner-Pz,2022-11-30,19.84
Baprola Dw,2020-01-31,2.43
Baprola Dw,2020-02-29,
Baprola Dw,2020-03-31,
Baprola Dw,2020-04-30,
Baprola Dw,2020-05-31,
Baprola Dw,2020-06-30,
Baprola Dw,2020-07-31,
Baprola Dw,2020-08-31,0.92
Baprola Dw,2020-09-30,
Baprola Dw,2020-10-31,
Baprola Dw,2020-11-30,3.55
Baprola Dw,2020-12-31,
Baprola Dw,2021-01-31,3.32
Baprola Dw,2021-02-28,
Baprola Dw,2021-03-31,
Baprola Dw,2021-04-30,
Baprola Dw,2021-05-31,
Baprola Dw,2021-06-30,
Baprola Dw,2021-07-31,
Baprola Dw,2021-08-31,0.9
Baprola Dw,2021-09-30,
Baprola Dw,2021-10-31,
Baprola Dw,2021-11-30,0.71
Baprola Dw,2021-12-31,
Baprola Dw,2022-01-31,0.89
Baprola Dw,2022-02-28,
Baprola Dw,2022-03-31,
Baprola Dw,2022-04-30,
Baprola Dw,2022-05-31,2.57
Baprola Dw,2022-06-30,
Baprola Dw,2022-07-31,
Baprola Dw,2022-08-31,3.5
Baprola Dw,2022-09-30,
Baprola Dw,2022-10-31,
Baprola Dw,2022-11-30,3.43
Barwala Dw,2021-08-31,6.26
Barwala Pz,2020-01-31,6.1
Barwala Pz,2020-02-29,
Barwala Pz,2020-03-31,
Barwala Pz,2020-04-30,
Barwala Pz,2020-05-31,
Barwala Pz,2020-06-30,
Barwala Pz,2020-07-31,
Barwala Pz,2020-08-31,6.0
Barwala Pz,2020-09-30,
Barwala Pz,2020-10-31,
Barwala Pz,2020-11-30,6.84
Barwala Pz,2020-12-31,
Barwala Pz,2021-01-31,6.47
Barwala Pz,2021-02-28,
Barwala Pz,2021-03-31,
Barwala Pz,2021-04-30,
Barwala Pz,2021-05-31,
Barwala Pz,2021-06-30,
Barwala Pz,2021-07-31,
Barwala Pz,2021-08-31,
Barwala Pz,2021-09-30,
Barwala Pz,2021-10-31,
Barwala Pz,2021-11-30,4.79
Barwala Pz,2021-12-31,
Barwala Pz,2022-01-31,4.62
Barwala Pz,2022-02-28,
Barwala Pz,2022-03-31,
Barwala Pz,2022-04-30,
Barwala Pz,2022-05-31,4.86
Barwala Pz,2022-06-30,
Barwala Pz,2022-07-31,
Barwala Pz,2022-08-31,4.94
Barwala Pz,2022-09-30,
Barwala Pz,2022-10-31,
Barwala Pz,2022-11-30,5.27
Bawana DJB JE Store,2023-09-30,7.50385
Bawana DJB JE Store,2023-10-31,7.571528301886793
Bawana DJB JE Store,2023-11-30,6.98880487804878
Bawana DJB JE Store,2023-12-31,7.208545454545455
Bawana DJB WTP_1,2023-09-30,9.763243478260868
Bawana DJB WTP_1,2023-10-31,9.99281512605042
Bawana DJB WTP_1,2023-11-30,10.006669724770642
Bawana DJB WTP_1,2023-12-31,10.394934426229508
Bawana Dw New,2021-01-31,9.01
Bawana Dw New,2021-02-28,
Bawana Dw New,2021-03-31,
Bawana Dw New,2021-04-30,
Bawana Dw New,2021-05-31,
Bawana Dw New,2021-06-30,
Bawana Dw New,2021-07-31,
Bawana Dw New,2021-08-31,
Bawana Dw New,2021-09-30,
Bawana Dw New,2021-10-31,
Bawana Dw New,2021-11-30,6.09
Bawana Dw New,2021-12-31,
Bawana Dw New,2022-01-31,
Bawana Dw New,2022-02-28,
Bawana Dw New,2022-03-31,
Bawana Dw New,2022-04-30,
Bawana Dw New,2022-05-31,8.21
Bawana Dw New,2022-06-30,
Bawana Dw New,2022-07-31,
Bawana Dw New,2022-08-31,9.08
Bhatti RWH,2022-05-31,10.95
Bhatti-Pz,2020-01-31,54.07
Bhatti-Pz,2020-02-29,
Bhatti-Pz,2020-03-31,
Bhatti-Pz,2020-04-30,
Bhatti-Pz,2020-05-31,
Bhatti-Pz,2020-06-30,
Bhatti-Pz,2020-07-31,
Bhatti-Pz,2020-08-31,48.67
Bhatti-Pz,2020-09-30,
Bhatti-Pz,2020-10-31,
Bhatti-Pz,2020-11-30,49.25
Bhatti-Pz,2020-12-31,
Bhatti-Pz,2021-01-31,50.78
Bhatti-Pz,2021-02-28,
Bhatti-Pz,2021-03-31,
Bhatti-Pz,2021-04-30,
Bhatti-Pz,2021-05-31,
Bhatti-Pz,2021-06-30,
Bhatti-Pz,2021-07-31,
Bhatti-Pz,2021-08-31,54.61
Bhatti-Pz,2021-09-30,
Bhatti-Pz,2021-10-31,
Bhatti-Pz,2021-11-30,40.55
Bhatti-Pz,2021-12-31,
Bhatti-Pz,2022-01-31,43.89
Bhatti-Pz,2022-02-28,
Bhatti-Pz,2022-03-31,
Bhatti-Pz,2022-04-30,
Bhatti-Pz,2022-05-31,48.64
Bhatti-Pz,2022-06-30,
Bhatti-Pz,2022-07-31,
Bhatti-Pz,2022-08-31,48.24
Bhatti-Pz,2022-09-30,
Bhatti-Pz,2022-10-31,
Bhatti-Pz,2022-11-30,39.17
Burarai-Pz,2022-01-31,3.37
Burarai-Pz,2022-02-28,
Burarai-Pz,2022-03-31,
Burarai-Pz,2022-04-30,
Burarai-Pz,2022-05-31,3.35
Burarai-Pz,2022-06-30,
Burarai-Pz,2022-07-31,
Burarai-Pz,2022-08-31,3.24
Burari Auger Pz,2020-01-31,4.56
Burari Auger Pz,2020-02-29,
Burari Auger Pz,2020-03-31,
Burari Auger Pz,2020-04-30,
Burari Auger Pz,2020-05-31,
Burari Auger Pz,2020-06-30,
Burari Auger Pz,2020-07-31,
Burari Auger Pz,2020-08-31,8.64
Burari Auger Pz,2020-09-30,
Burari Auger Pz,2020-10-31,
Burari Auger Pz,2020-11-30,9.86
Burari Auger Pz,2020-12-31,
Burari Auger Pz,2021-01-31,9.54
Burari Auger Pz,2021-02-28,
Burari Auger Pz,2021-03-31,
Burari Auger Pz,2021-04-30,
Burari Auger Pz,2021-05-31,
Burari Auger Pz,2021-06-30,
Burari Auger Pz,2021-07-31,
Burari Auger Pz,2021-08-31,7.82
Burari Auger Pz,2021-09-30,
Burari Auger Pz,2021-10-31,
Burari Auger Pz,2021-11-30,8.06
Burari Auger Pz,2021-12-31,
Burari Auger Pz,2022-01-31,7.46
Burari Auger Pz,2022-02-28,
Burari Auger Pz,2022-03-31,
Burari Auger Pz,2022-04-30,
Burari Auger Pz,2022-05-31,
Burari Auger Pz,2022-06-30,
Burari Auger Pz,2022-07-31,
Burari Auger Pz,2022-08-31,6.6
Burari Auger Pz,2022-09-30,
Burari Auger Pz,2022-10-31,
Burari Auger Pz,2022-11-30,4.62
Burari OJB Ex. Eng Office,2023-09-30,34.789585714285714
Burari OJB Ex. Eng Office,2023-10-31,3.4883636363636366
Burari OJB Ex. Eng Office,2023-11-30,3.3500091743119267
Burari OJB Ex. Eng Office,2023-12-31,3.438434426229508
CVD Depot Cant (Dp),2020-01-31,27.22
CVD Depot Cant (Dp),2020-02-29,
CVD Depot Cant (Dp),2020-03-31,
CVD Depot Cant (Dp),2020-04-30,
CVD Depot Cant (Dp),2020-05-31,
CVD Depot Cant (Dp),2020-06-30,
CVD Depot Cant (Dp),2020-07-31,
CVD Depot Cant (Dp),2020-08-31,
CVD Depot Cant (Dp),2020-09-30,
CVD Depot Cant (Dp),2020-10-31,
CVD Depot Cant (Dp),2020-11-30,
CVD Depot Cant (Dp),2020-12-31,
CVD Depot Cant (Dp),2021-01-31,
CVD Depot Cant (Dp),2021-02-28,
CVD Depot Cant (Dp),2021-03-31,
CVD Depot Cant (Dp),2021-04-30,
CVD Depot Cant (Dp),2021-05-31,
CVD Depot Cant (Dp),2021-06-30,
CVD Depot Cant (Dp),2021-07-31,
CVD Depot Cant (Dp),2021-08-31,
CVD Depot Cant (Dp),2021-09-30,
CVD Depot Cant (Dp),2021-10-31,
CVD Depot Cant (Dp),2021-11-30,24.98
CVD Depot Cant (Dp),2021-12-31,
CVD Depot Cant (Dp),2022-01-31,24.8
CVD Depot Cant (Dp),2022-02-28,
CVD Depot Cant (Dp),2022-03-31,
CVD Depot Cant (Dp),2022-04-30,
CVD Depot Cant (Dp),2022-05-31,
CVD Depot Cant (Dp),2022-06-30,
CVD Depot Cant (Dp),2022-07-31,
CVD Depot Cant (Dp),2022-08-31,
CVD Depot Cant (Dp),2022-09-30,
CVD Depot Cant (Dp),2022-10-31,
CVD Depot Cant (Dp),2022-11-30,26.3
Cbd Shahdara Pz,2020-01-31,14.48
Cbd Shahdara Pz,2020-02-29,
Cbd Shahdara Pz,2020-03-31,
Cbd Shahdara Pz,2020-04-30,
Cbd Shahdara Pz,2020-05-31,
Cbd Shahdara Pz,2020-06-30,
Cbd Shahdara Pz,2020-07-31,
Cbd Shahdara Pz,2020-08-31,13.81
Cbd Shahdara Pz,2020-09-30,
Cbd Shahdara Pz,2020-10-31,
Cbd Shahdara Pz,2020-11-30,
Cbd Shahdara Pz,2020-12-31,
Cbd Shahdara Pz,2021-01-31,
Cbd Shahdara Pz,2021-02-28,
Cbd Shahdara Pz,2021-03-31,
Cbd Shahdara Pz,2021-04-30,
Cbd Shahdara Pz,2021-05-31,
Cbd Shahdara Pz,2021-06-30,
Cbd Shahdara Pz,2021-07-31,
Cbd Shahdara Pz,2021-08-31,14.34
Cbd Shahdara Pz,2021-09-30,
Cbd Shahdara Pz,2021-10-31,
Cbd Shahdara Pz,2021-11-30,12.9
Cbd Shahdara Pz,2021-12-31,
Cbd Shahdara Pz,2022-01-31,12.9
Cbd Shahdara Pz,2022-02-28,
Cbd Shahdara Pz,2022-03-31,
Cbd Shahdara Pz,2022-04-30,
Cbd Shahdara Pz,2022-05-31,14.55
Cbd Shahdara Pz,2022-06-30,
Cbd Shahdara Pz,2022-07-31,
Cbd Shahdara Pz,2022-08-31,14.32
Cbd Shahdara Pz,2022-09-30,
Cbd Shahdara Pz,2022-10-31,
Cbd Shahdara Pz,2022-11-30,13.97
Chandini Chowk DW,2020-01-31,7.56
Chandini Chowk DW,2020-02-29,
Chandini Chowk DW,2020-03-31,
Chandini Chowk DW,2020-04-30,
Chandini Chowk DW,2020-05-31,
Chandini Chowk DW,2020-06-30,
Chandini Chowk DW,2020-07-31,
Chandini Chowk DW,2020-08-31,5.15
Chandini Chowk DW,2020-09-30,
Chandini Chowk DW,2020-10-31,
Chandini Chowk DW,2020-11-30,
Chandini Chowk DW,2020-12-31,
Chandini Chowk DW,2021-01-31,5.69
Chandini Chowk DW,2021-02-28,
Chandini Chowk DW,2021-03-31,
Chandini Chowk DW,2021-04-30,
Chandini Chowk DW,2021-05-31,
Chandini Chowk DW,2021-06-30,
Chandini Chowk DW,2021-07-31,
Chandini Chowk DW,2021-08-31,5.3
Chandini Chowk DW,2021-09-30,
Chandini Chowk DW,2021-10-31,
Chandini Chowk DW,2021-11-30,5.77
Chandini Chowk DW,2021-12-31,
Chandini Chowk DW,2022-01-31,6.3
Chandini Chowk DW,2022-02-28,
Chandini Chowk DW,2022-03-31,
Chandini Chowk DW,2022-04-30,
Chandini Chowk DW,2022-05-31,6.48
