stationName,Month,Monthly_Mean_Pressure
Burari OJB Ex. Eng Office,2020-01-31,99192.625
Burari OJB Ex. Eng Office,2020-02-29,99153.4609375
Burari OJB Ex. Eng Office,2020-03-31,98787.7734375
Burari OJB Ex. Eng Office,2020-04-30,98472.3984375
Burari OJB Ex. Eng Office,2020-05-31,97987.5078125
Burari OJB Ex. Eng Office,2020-06-30,97601.2421875
Burari OJB Ex. Eng Office,2020-07-31,97554.7109375
Burari OJB Ex. Eng Office,2020-08-31,97527.3984375
Burari OJB Ex. Eng Office,2020-09-30,97912.421875
Burari OJB Ex. Eng Office,2020-10-31,98388.75
Burari OJB Ex. Eng Office,2020-11-30,99133.390625
Burari OJB Ex. Eng Office,2020-12-31,99143.546875
Burari OJB Ex. Eng Office,2021-01-31,99060.5078125
Burari OJB Ex. Eng Office,2021-02-28,98965.1796875
Burari OJB Ex. Eng Office,2021-03-31,98590.96875
Burari OJB Ex. Eng Office,2021-04-30,98365.71875
Burari OJB Ex. Eng Office,2021-05-31,97970.734375
Burari OJB Ex. Eng Office,2021-06-30,97583.4921875
Burari OJB Ex. Eng Office,2021-07-31,97474.0234375
Burari OJB Ex. Eng Office,2021-08-31,97723.859375
Burari OJB Ex. Eng Office,2021-09-30,98050.703125
Burari OJB Ex. Eng Office,2021-10-31,98461.25
Burari OJB Ex. Eng Office,2021-11-30,98901.078125
Burari OJB Ex. Eng Office,2021-12-31,99310.6875
Burari OJB Ex. Eng Office,2022-01-31,99099.5234375
Burari OJB Ex. Eng Office,2022-02-28,98835.1640625
Burari OJB Ex. Eng Office,2022-03-31,98500.7109375
Burari OJB Ex. Eng Office,2022-04-30,98073.234375
Burari OJB Ex. Eng Office,2022-05-31,97634.6640625
Burari OJB Ex. Eng Office,2022-06-30,97501.8203125
Burari OJB Ex. Eng Office,2022-07-31,97651.96875
Burari OJB Ex. Eng Office,2022-08-31,97725.09375
Burari OJB Ex. Eng Office,2022-09-30,98015.640625
Burari OJB Ex. Eng Office,2022-10-31,98649.4609375
Burari OJB Ex. Eng Office,2022-11-30,98963.96875
Burari OJB Ex. Eng Office,2022-12-31,99057.6953125
Burari OJB Ex. Eng Office,2023-01-31,99265.3359375
Burari OJB Ex. Eng Office,2023-02-28,98921.7578125
Burari OJB Ex. Eng Office,2023-03-31,98782.8359375
Burari OJB Ex. Eng Office,2023-04-30,98410.7578125
Burari OJB Ex. Eng Office,2023-05-31,98126.484375
Burari OJB Ex. Eng Office,2023-06-30,97663.890625
Burari OJB Ex. Eng Office,2023-07-31,97643.203125
Burari OJB Ex. Eng Office,2023-08-31,97687.203125
Burari OJB Ex. Eng Office,2023-09-30,97988.0703125
Burari OJB Ex. Eng Office,2023-10-31,98679.4609375
Burari OJB Ex. Eng Office,2023-11-30,99089.640625
Burari OJB Ex. Eng Office,2023-12-31,99243.7421875
Delhi Central CIVIL LINES Burari AugurPz,2020-01-31,99211.421875
Delhi Central CIVIL LINES Burari AugurPz,2020-02-29,99171.6640625
Delhi Central CIVIL LINES Burari AugurPz,2020-03-31,98805.8359375
Delhi Central CIVIL LINES Burari AugurPz,2020-04-30,98490.78125
Delhi Central CIVIL LINES Burari AugurPz,2020-05-31,98005.90625
Delhi Central CIVIL LINES Burari AugurPz,2020-06-30,97618.796875
Delhi Central CIVIL LINES Burari AugurPz,2020-07-31,97571.28125
Delhi Central CIVIL LINES Burari AugurPz,2020-08-31,97545.5703125
Delhi Central CIVIL LINES Burari AugurPz,2020-09-30,97928.15625
Delhi Central CIVIL LINES Burari AugurPz,2020-10-31,98406.6015625
Delhi Central CIVIL LINES Burari AugurPz,2020-11-30,99152.2109375
Delhi Central CIVIL LINES Burari AugurPz,2020-12-31,99162.109375
Delhi Central CIVIL LINES Burari AugurPz,2021-01-31,99079.0546875
Delhi Central CIVIL LINES Burari AugurPz,2021-02-28,98983.9140625
Delhi Central CIVIL LINES Burari AugurPz,2021-03-31,98609.6015625
Delhi Central CIVIL LINES Burari AugurPz,2021-04-30,98385.296875
Delhi Central CIVIL LINES Burari AugurPz,2021-05-31,97989.3984375
Delhi Central CIVIL LINES Burari AugurPz,2021-06-30,97601.2890625
Delhi Central CIVIL LINES Burari AugurPz,2021-07-31,97490.8046875
Delhi Central CIVIL LINES Burari AugurPz,2021-08-31,97739.4375
Delhi Central CIVIL LINES Burari AugurPz,2021-09-30,98070.6640625
Delhi Central CIVIL LINES Burari AugurPz,2021-10-31,98477.375
Delhi Central CIVIL LINES Burari AugurPz,2021-11-30,98919.1640625
Delhi Central CIVIL LINES Burari AugurPz,2021-12-31,99329.7109375
Delhi Central CIVIL LINES Burari AugurPz,2022-01-31,99117.5703125
Delhi Central CIVIL LINES Burari AugurPz,2022-02-28,98853.765625
Delhi Central CIVIL LINES Burari AugurPz,2022-03-31,98517.6953125
Delhi Central CIVIL LINES Burari AugurPz,2022-04-30,98090.4453125
Delhi Central CIVIL LINES Burari AugurPz,2022-05-31,97654.515625
Delhi Central CIVIL LINES Burari AugurPz,2022-06-30,97518.140625
Delhi Central CIVIL LINES Burari AugurPz,2022-07-31,97670.78125
Delhi Central CIVIL LINES Burari AugurPz,2022-08-31,97742.625
Delhi Central CIVIL LINES Burari AugurPz,2022-09-30,98027.0234375
Delhi Central CIVIL LINES Burari AugurPz,2022-10-31,98659.5078125
Delhi Central CIVIL LINES Burari AugurPz,2022-11-30,98973.453125
Delhi Central CIVIL LINES Burari AugurPz,2022-12-31,99067.046875
Delhi Central CIVIL LINES Burari AugurPz,2023-01-31,99276.2890625
Delhi Central CIVIL LINES Burari AugurPz,2023-02-28,98930.90625
Delhi Central CIVIL LINES Burari AugurPz,2023-03-31,98793.78125
Delhi Central CIVIL LINES Burari AugurPz,2023-04-30,98421.390625
Delhi Central CIVIL LINES Burari AugurPz,2023-05-31,98136.5625
Delhi Central CIVIL LINES Burari AugurPz,2023-06-30,97672.4453125
Delhi Central CIVIL LINES Burari AugurPz,2023-07-31,97653.546875
Delhi Central CIVIL LINES Burari AugurPz,2023-08-31,97692.21875
Delhi Central CIVIL LINES Burari AugurPz,2023-09-30,97998.046875
Delhi Central CIVIL LINES Burari AugurPz,2023-10-31,98688.578125
Delhi Central CIVIL LINES Burari AugurPz,2023-11-30,99100.4140625
Delhi Central CIVIL LINES Burari AugurPz,2023-12-31,99254.1953125
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-01-31,99192.625
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-02-29,99153.4609375
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-03-31,98787.7734375
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-04-30,98472.3984375
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-05-31,97987.5078125
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-06-30,97601.2421875
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-07-31,97554.7109375
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-08-31,97527.3984375
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-09-30,97912.421875
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-10-31,98388.75
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-11-30,99133.390625
Delhi Central CIVIL LINES Jagatpur Pz 1,2020-12-31,99143.546875
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-01-31,99060.5078125
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-02-28,98965.1796875
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-03-31,98590.96875
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-04-30,98365.71875
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-05-31,97970.734375
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-06-30,97583.4921875
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-07-31,97474.0234375
Delhi Central CIVIL LINES Jagatpur Pz 1,2021-08-31,97723.859375
