stationName,latitude,longitude
Burari OJB Ex. Eng Office,28.7332,77.1974
Delhi Central CIVIL LINES Burari AugurPz,28.7807,77.2015
Delhi Central CIVIL LINES Jagatpur Pz 1,28.7399,77.2226
Khela Ghat Bhela road_1,28.6644,77.2344
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,28.6281,77.3181
Delhi East PREET VIHAR Bank Enclave Pz,28.6411,77.2712
Delhi_East_Mayur Vihar_Chilla Saroda Pz,28.6168,77.3044
Delhi East PREET VIHAR Gujarat Vihar Pz,28.6423,77.2918
gazipur crossing pz,28.6281,77.3181
Delhi East MAYUR VIHAR Chilla Regulator,28.5872,77.301
Delhi East Mayur vihar Kondli DJB WTP,28.6108,77.323
Chilla Regulator,28.5872,77.3014
Nagali Rajapur Pz,28.5944,77.2733
Nizamuddin Bridge-2,28.6047,77.2661
Ghazipur Crossing Pz,28.6281,77.3181
Cbd Shahdara Pz,28.6611,77.3031
"Mayur Vihar B Block, Ph-II",28.6164,77.3044
Gujarat Vihar Pz_1,28.6422,77.2917
Bank Enclave Pz_1,28.6408,77.2875
Kondli Pz,28.6153,77.3308
Chillasaroda Pz,28.6003,77.2986
Singhola Pz_2,28.8433,77.1294
Tiggipur Deep Pz_1,28.8147,77.1972
Delhi_South East_Kalkaji_Okhla DJB WTP,28.8347,77.0225
Tiggipur Shallow Pz_1,28.8147,77.1975
Delhi North ALIPUR Alipur Garhi Pz,28.7981,77.1244
Delhi North ALIPUR Hiranki Village Pz,28.8014,77.1808
Bawana DJB WTP_1,28.8233,77.0536
Khera Kalan Pz_1,28.7694,77.1181
Narela DJB WTP,28.8367,77.1344
Delhi_Shahdara_Shahdara_CBD Shahdara,28.6847,77.1994
Bakoli Deep Pz,28.8153,77.1517
Delhi North ALIPUR Rohini Sector 28,28.7528,77.095
Coronation Pillar,28.7245,77.1925
Delhi North ALIPUR Haiderpur Pz,28.7289,77.1469
Delhi North ALIPUR Singhu Village Pz,28.8533,77.1311
Qatlupur_2,28.8412,77.0256
Palla Temple_1,28.8225,77.2036
Kewal Park,28.7185,77.1812
Bakolishallow,28.8153,77.1517
Delhi North NARELA Bankner Pz,28.8514,77.0736
Delhi North NARELA Auchandi Pz,28.8194,76.9972
Delhi North ALIPUR Palla Zero RD,28.8581,77.1964
Delhi North NARELA Barwala Pz,28.7583,77.0625
Bawana DJB JE Store,28.7869,77.03
Hiranki Village Pz_1,28.8011,77.1808
Alipur Garhi Pz_1,28.7981,77.1244
Singhu Village Pz_1,28.8533,77.1311
Delhi North East SEELAM PUR Ushmanpur Pz,28.6849,77.2491
Sonia Vihar_1,28.7078,77.249
Gokulpuri E Pz,28.7042,77.2744
Sonia Vihar WTP,28.7128,77.2367
Ushmanpur Pz,28.6847,77.2492
Samaipur Badli,28.7406,77.1525
Sultanpur Dabas_1,28.765,77.0356
Sandesh Vihar Pz_1,28.695,77.1461
"Rohini, Sector-23",28.7239,77.0711
Sanjay Van Pz_1,28.6903,77.1419
Delhi_West_Rajouri Garden_Tagore Garden,28.6449,77.1078
Delhi North West ROHINI Rohini Sec 11 Pz,28.7322,77.1044
Delhi North West ROHINI Rithala Pz Sec5 Rohini,28.715,77.1017
Delhi North West SARASWATI VIHAR Sainik Vihar(Pz),28.6911,77.1219
Delhi North West SARASWATI VIHAR Qutabgarh Pz,28.8056,76.9647
Majara Dabas_1,28.7556,77.0058
Delhi North West ROHINI Mangolpuri Pz,28.6903,77.0792
Rohini Sector 1Pz,28.7028,77.0981
Nizampur_3,28.7194,76.9667
Palla Temple,28.8225,77.2036
Rani Khera,28.7069,77.025
Bankner Dw,28.85,77.0736
Nizampur,28.7194,76.9667
Bankner-Pz,28.8514,77.0736
Kanjhawala (pz),28.725,77.0
Palla Zero RD,28.8581,77.1964
Balswa Lake,28.7364,77.1628
Jaunti Dw,28.7528,76.9667
Rohini Sec-28,28.7528,77.095
Majara Dabas,28.7556,77.0058
Burarai-Pz,28.76,77.2075
Khera Kalan Pz,28.7694,77.1181
Bawana Dw New,28.7889,77.0292
Tiggipur Deep Pz,28.8147,77.1972
Tiggipur Shallow Pz,28.8147,77.1975
Bakoli-  Deep Pz,28.8153,77.1517
Bakoli -  Shallow Pz,28.8153,77.1517
Auchandi Pz,28.8194,76.9972
Qatlupur Pz,28.8347,77.0225
Kingsway Camp Police Ground Pz,28.6847,77.1994
Sainik Vihar Pz,28.6911,77.1239
Mangolpuri Pz,28.6903,77.0792
Barwala Pz,28.7583,77.0625
Majanu Ka Tila Dw,28.6958,77.2278
Chandini Chowk DW,28.6556,77.2358
Jagatpur Pz-2,28.74,77.2225
Rohini Sector - 11,28.7322,77.1044
Barwala Dw,28.7583,77.0628
Hareoli Dw,28.8319,77.0083
Jagatpur Pz-1,28.7433,77.2214
Haiderpur Pz,28.7289,77.1469
ISBT (Kashmiri Gate) Dw,28.6722,77.2306
Burari Auger Pz,28.7689,77.2075
Singhola Pz,28.8433,77.1294
vivek vihar(Pz)_1,28.6708,77.3131
Delhi_North East_Yamuna Vihar_Gokulpuri E Pz,28.6708,77.3131
Delhi South HAUZ KHAS Pusp Vihar Pz,28.5271,77.2231
Delhi South HAUZ KHAS Hauz Khas Pz,28.5472,77.2048
Delhi South MEHRAULI Gadaipur Pz,28.4769,77.1561
Delhi South SAKET Bhatti Pz,28.4278,77.2083
Jheel Khoh,28.4089,77.1894
Sundar Nursery Pz,28.5961,77.245
Gadaipur Pz,28.4769,77.1561
Sultanpur IMS,28.4894,77.1458
Asola Pz,28.4958,77.2667
Jamali Kamali,28.5061,77.1822
Jaitpur Khadar RD-3500,28.5089,77.3406
Pusp Vihar Pz,28.5278,77.2267
Sanjay van Ck Dam,28.5394,77.1806
Balbir Nagar,28.42,77.2078
Bhatti RWH,28.4256,77.2125
Bhatti-Pz,28.4278,77.2083
Humayun Tomb,28.595,77.2508
Madanpur Khadar,28.5289,77.3253
Hauz Khas Pz,28.5453,77.2022
Jaunapur DJB,28.4681,77.15
Shikarpur Deep Pz,28.5244,76.9533
Daryapur Khurd_1,28.5342,76.9086
Shikarpur Shallow Pz,28.5247,76.9533
Delhi South West DWARKA Dwarka S-16 (TP),28.5813,77.0242
"Delhi South West DWARKA Dwarka Sec-5,DDA Park Pz",28.595,77.0581
Delhi South West NAJAFGARH Najafgarh Town,28.6147,77.0006
Ujwah Pz,28.5767,76.9142
Surheda_2,28.6039,76.9322
"Delhi South West DWARKA Dwarka Sec-23,DDA Park Pz",28.566,77.0505
Delhi South West NAJAFGARH Mandela Kalan Pz,28.6072,76.8939
Delhi South West KAPESHERA Daulatpur Pz,28.5431,76.9653
Delhi South West KAPESHERA Chhawla Pz,28.5464,77.0094
Deorala Pz,28.5108,76.8989
Jharoda Kalan Pz,28.6389,76.9736
PUSA (NRL),28.6392,77.1622
Sikarpur Deep,28.5244,76.9533
Sikarpur Shallow,28.5247,76.9533
Daryapur Khurd,28.5342,76.9086
JUN Pz-13 Upstreem,28.5358,77.1569
JUN Pz-3 (D) Downstream,28.5358,77.1569
Dwarka Sect -23,28.5667,77.0539
Chawla,28.5464,77.0094
Surheda TW,28.6039,76.9322
Raota,28.5181,76.9042
Daulatpur Pz,28.5431,76.9653
Mundela Kalan Pz,28.6064,76.8933
PUSA (WTC),28.6319,77.1594
Jhuljhuli Dw,28.5361,76.9047
Najafgarh Town,28.6147,77.0006
Ojwah Pz,28.5767,76.9142
Shekhawati Line Pz,28.5783,77.1078
Tagore Garden Pz,28.5786,77.1081
Dwarka Sec-16 (Tp),28.5856,77.0261
Kabul Line Pz,28.5922,77.1275
Dwarka Sect-5,28.6003,77.055
CVD Depot Cant (Dp),28.6033,77.1111
Mandela Khurd Pz,28.6072,76.8939
Delhi West RAJOURI GARDEN Mayapuri Pz,28.6185,77.1112
Delhi West PATEL NAGAR Vikashpuri Pz,28.6323,77.0749
Keshopur DJB WTP,28.6525,77.0864
Janakpuri Pz_1,28.63,77.0914
Tikri Kalan Pz_1,28.6833,76.9694
PUSA (NRL) Pz,28.6392,77.1622
Delhi West PUNJABI BAGH Peeragarhi Pz,28.6781,77.0947
Vikashpuri Pz,28.6322,77.0742
Baprola Dw,28.65,77.0167
Keshopur TW,28.6525,77.0889
Peera Garhi Pz,28.6781,77.0947
Hiran Kudna Dw,28.6822,76.9942
Janakpuri Pz,28.63,77.0914
Mayapuri Pz,28.6186,77.1111
Peera Garhi Dw,28.6756,77.0933
