stationName,Month,Monthly_Mean_Dewpoint
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-12-31,281.78924560546875
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-01-31,281.3632507324219
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-02-28,283.22015380859375
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-03-31,287.12591552734375
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-04-30,283.9438781738281
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-05-31,288.4158630371094
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-06-30,293.9679260253906
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-07-31,298.8924865722656
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-08-31,297.2557067871094
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-09-30,296.44085693359375
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-10-31,288.7038269042969
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-11-30,286.9524230957031
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-12-31,283.22564697265625
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-01-31,281.4286804199219
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-02-29,281.6651306152344
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-03-31,284.1765441894531
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-04-30,281.60736083984375
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-05-31,285.18505859375
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-06-30,290.6009216308594
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-07-31,299.5351867675781
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-08-31,298.4880676269531
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-09-30,297.44940185546875
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-10-31,292.40069580078125
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-11-30,287.9784240722656
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-12-31,281.14825439453125
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-01-31,282.656494140625
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-02-28,283.0225524902344
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-03-31,283.00177001953125
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-04-30,283.6597900390625
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-05-31,292.24798583984375
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-06-30,295.9868469238281
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-07-31,298.6078186035156
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-08-31,298.2684020996094
Delhi Central CIVIL LINES Burari AugurPz,2022-12-31,281.886474609375
Delhi Central CIVIL LINES Burari AugurPz,2023-01-31,281.4338073730469
Delhi Central CIVIL LINES Burari AugurPz,2023-02-28,283.47125244140625
Delhi Central CIVIL LINES Burari AugurPz,2023-03-31,287.207763671875
Delhi Central CIVIL LINES Burari AugurPz,2023-04-30,284.0677185058594
Delhi Central CIVIL LINES Burari AugurPz,2023-05-31,288.3583679199219
Delhi Central CIVIL LINES Burari AugurPz,2023-06-30,294.0137023925781
Delhi Central CIVIL LINES Burari AugurPz,2023-07-31,298.81536865234375
Delhi Central CIVIL LINES Burari AugurPz,2023-08-31,297.2624206542969
Delhi Central CIVIL LINES Burari AugurPz,2023-09-30,296.43670654296875
Delhi Central CIVIL LINES Burari AugurPz,2023-10-31,288.7676086425781
Delhi Central CIVIL LINES Burari AugurPz,2023-11-30,286.9413757324219
Delhi Central CIVIL LINES Burari AugurPz,2023-12-31,283.2424011230469
Delhi Central CIVIL LINES Burari AugurPz,2024-01-31,281.4149475097656
Delhi Central CIVIL LINES Burari AugurPz,2024-02-29,281.62310791015625
Delhi Central CIVIL LINES Burari AugurPz,2024-03-31,284.1864929199219
Delhi Central CIVIL LINES Burari AugurPz,2024-04-30,281.7625732421875
Delhi Central CIVIL LINES Burari AugurPz,2024-05-31,285.5701904296875
Delhi Central CIVIL LINES Burari AugurPz,2024-06-30,290.6710510253906
Delhi Central CIVIL LINES Burari AugurPz,2024-07-31,299.44305419921875
Delhi Central CIVIL LINES Burari AugurPz,2024-08-31,298.4538269042969
Delhi Central CIVIL LINES Burari AugurPz,2024-09-30,297.44061279296875
Delhi Central CIVIL LINES Burari AugurPz,2024-10-31,292.47119140625
Delhi Central CIVIL LINES Burari AugurPz,2024-11-30,288.0321044921875
Delhi Central CIVIL LINES Burari AugurPz,2024-12-31,281.11248779296875
Delhi Central CIVIL LINES Burari AugurPz,2025-01-31,282.607177734375
Delhi Central CIVIL LINES Burari AugurPz,2025-02-28,283.0696716308594
Delhi Central CIVIL LINES Burari AugurPz,2025-03-31,283.2305603027344
Delhi Central CIVIL LINES Burari AugurPz,2025-04-30,283.940185546875
Delhi Central CIVIL LINES Burari AugurPz,2025-05-31,292.32769775390625
Delhi Central CIVIL LINES Burari AugurPz,2025-06-30,295.9486999511719
Delhi Central CIVIL LINES Burari AugurPz,2025-07-31,298.5767517089844
Delhi Central CIVIL LINES Burari AugurPz,2025-08-31,298.23583984375
Burari OJB Ex. Eng Office,2022-12-31,281.78924560546875
Burari OJB Ex. Eng Office,2023-01-31,281.3632507324219
Burari OJB Ex. Eng Office,2023-02-28,283.22015380859375
Burari OJB Ex. Eng Office,2023-03-31,287.12591552734375
Burari OJB Ex. Eng Office,2023-04-30,283.9438781738281
Burari OJB Ex. Eng Office,2023-05-31,288.4158630371094
Burari OJB Ex. Eng Office,2023-06-30,293.9679260253906
Burari OJB Ex. Eng Office,2023-07-31,298.8924865722656
Burari OJB Ex. Eng Office,2023-08-31,297.2557067871094
Burari OJB Ex. Eng Office,2023-09-30,296.44085693359375
Burari OJB Ex. Eng Office,2023-10-31,288.7038269042969
Burari OJB Ex. Eng Office,2023-11-30,286.9524230957031
Burari OJB Ex. Eng Office,2023-12-31,283.22564697265625
Burari OJB Ex. Eng Office,2024-01-31,281.4286804199219
Burari OJB Ex. Eng Office,2024-02-29,281.6651306152344
Burari OJB Ex. Eng Office,2024-03-31,284.1765441894531
Burari OJB Ex. Eng Office,2024-04-30,281.60736083984375
Burari OJB Ex. Eng Office,2024-05-31,285.18505859375
Burari OJB Ex. Eng Office,2024-06-30,290.6009216308594
Burari OJB Ex. Eng Office,2024-07-31,299.5351867675781
Burari OJB Ex. Eng Office,2024-08-31,298.4880676269531
Burari OJB Ex. Eng Office,2024-09-30,297.44940185546875
Burari OJB Ex. Eng Office,2024-10-31,292.40069580078125
Burari OJB Ex. Eng Office,2024-11-30,287.9784240722656
Burari OJB Ex. Eng Office,2024-12-31,281.14825439453125
Burari OJB Ex. Eng Office,2025-01-31,282.656494140625
Burari OJB Ex. Eng Office,2025-02-28,283.0225524902344
Burari OJB Ex. Eng Office,2025-03-31,283.00177001953125
Burari OJB Ex. Eng Office,2025-04-30,283.6597900390625
Burari OJB Ex. Eng Office,2025-05-31,292.24798583984375
Burari OJB Ex. Eng Office,2025-06-30,295.9868469238281
Burari OJB Ex. Eng Office,2025-07-31,298.6078186035156
Burari OJB Ex. Eng Office,2025-08-31,298.2684020996094
Delhi East MAYUR VIHAR Chilla Regulator,2022-12-31,281.67755126953125
Delhi East MAYUR VIHAR Chilla Regulator,2023-01-31,281.25213623046875
Delhi East MAYUR VIHAR Chilla Regulator,2023-02-28,282.97259521484375
Delhi East MAYUR VIHAR Chilla Regulator,2023-03-31,286.8171081542969
Delhi East MAYUR VIHAR Chilla Regulator,2023-04-30,283.5895080566406
Delhi East MAYUR VIHAR Chilla Regulator,2023-05-31,288.1329345703125
Delhi East MAYUR VIHAR Chilla Regulator,2023-06-30,293.8041687011719
Delhi East MAYUR VIHAR Chilla Regulator,2023-07-31,298.79290771484375
Delhi East MAYUR VIHAR Chilla Regulator,2023-08-31,297.1780700683594
Delhi East MAYUR VIHAR Chilla Regulator,2023-09-30,296.4861145019531
Delhi East MAYUR VIHAR Chilla Regulator,2023-10-31,288.826416015625
Delhi East MAYUR VIHAR Chilla Regulator,2023-11-30,286.93731689453125
Delhi East MAYUR VIHAR Chilla Regulator,2023-12-31,283.1111755371094
Delhi East MAYUR VIHAR Chilla Regulator,2024-01-31,281.3659362792969
Delhi East MAYUR VIHAR Chilla Regulator,2024-02-29,281.5501403808594
Delhi East MAYUR VIHAR Chilla Regulator,2024-03-31,283.95855712890625
Delhi East MAYUR VIHAR Chilla Regulator,2024-04-30,281.26947021484375
Delhi East MAYUR VIHAR Chilla Regulator,2024-05-31,284.9658508300781
Delhi East MAYUR VIHAR Chilla Regulator,2024-06-30,290.5028381347656
Delhi East MAYUR VIHAR Chilla Regulator,2024-07-31,299.4122009277344
Delhi East MAYUR VIHAR Chilla Regulator,2024-08-31,298.4031066894531
Delhi East MAYUR VIHAR Chilla Regulator,2024-09-30,297.351806640625
Delhi East MAYUR VIHAR Chilla Regulator,2024-10-31,292.4259033203125
Delhi East MAYUR VIHAR Chilla Regulator,2024-11-30,287.9278259277344
Delhi East MAYUR VIHAR Chilla Regulator,2024-12-31,281.08514404296875
Delhi East MAYUR VIHAR Chilla Regulator,2025-01-31,282.55682373046875
Delhi East MAYUR VIHAR Chilla Regulator,2025-02-28,282.8874206542969
Delhi East MAYUR VIHAR Chilla Regulator,2025-03-31,282.6979064941406
Delhi East MAYUR VIHAR Chilla Regulator,2025-04-30,283.5292053222656
Delhi East MAYUR VIHAR Chilla Regulator,2025-05-31,292.1114501953125
Delhi East MAYUR VIHAR Chilla Regulator,2025-06-30,295.9561767578125
Delhi East MAYUR VIHAR Chilla Regulator,2025-07-31,298.478515625
Delhi East MAYUR VIHAR Chilla Regulator,2025-08-31,298.18365478515625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-12-31,281.67755126953125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-01-31,281.25213623046875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-02-28,282.97259521484375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-03-31,286.8171081542969
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-04-30,283.5895080566406
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-05-31,288.1329345703125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-06-30,293.8041687011719
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-07-31,298.79290771484375
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-08-31,297.1780700683594
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-09-30,296.4861145019531
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-10-31,288.826416015625
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-11-30,286.93731689453125
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-12-31,283.1111755371094
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-01-31,281.3659362792969
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2024-02-29,281.5501403808594
