stationName,Month,Monthly_Total_Evap
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-12-31,-0.39291173219680786
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-01-31,-0.47454363107681274
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-02-28,-0.558945894241333
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-03-31,-0.9367085695266724
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-04-30,-0.8708103895187378
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-05-31,-1.3223530054092407
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-06-30,-0.9280131459236145
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-07-31,-1.7380231618881226
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-08-31,-2.0371198654174805
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-09-30,-1.624871015548706
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-10-31,-0.8628090620040894
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-11-30,-0.3527868390083313
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-12-31,-0.27965623140335083
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-01-31,-0.17517460882663727
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-02-29,-0.6001631021499634
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-03-31,-0.8434302806854248
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-04-30,-0.29977524280548096
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-05-31,-0.26318156719207764
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-06-30,-0.5895807147026062
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-07-31,-1.892614483833313
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-08-31,-1.6831039190292358
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-09-30,-1.5901093482971191
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-10-31,-1.2393112182617188
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-11-30,-0.4759770631790161
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-12-31,-0.382174015045166
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-01-31,-0.7457611560821533
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-02-28,-0.5813395977020264
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-03-31,-0.8043394088745117
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-04-30,-0.41958653926849365
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-05-31,-0.8095195889472961
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-06-30,-1.1734066009521484
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-07-31,-1.7159674167633057
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-08-31,-1.6185625791549683
Delhi Central CIVIL LINES Burari AugurPz,2022-12-31,-0.5059608221054077
Delhi Central CIVIL LINES Burari AugurPz,2023-01-31,-0.5356873273849487
Delhi Central CIVIL LINES Burari AugurPz,2023-02-28,-0.7767986059188843
Delhi Central CIVIL LINES Burari AugurPz,2023-03-31,-0.9636557698249817
Delhi Central CIVIL LINES Burari AugurPz,2023-04-30,-1.0311172008514404
Delhi Central CIVIL LINES Burari AugurPz,2023-05-31,-1.248840570449829
Delhi Central CIVIL LINES Burari AugurPz,2023-06-30,-0.9311230778694153
Delhi Central CIVIL LINES Burari AugurPz,2023-07-31,-1.6836528778076172
Delhi Central CIVIL LINES Burari AugurPz,2023-08-31,-2.1945931911468506
Delhi Central CIVIL LINES Burari AugurPz,2023-09-30,-1.805635929107666
Delhi Central CIVIL LINES Burari AugurPz,2023-10-31,-1.050185203552246
Delhi Central CIVIL LINES Burari AugurPz,2023-11-30,-0.3412618339061737
Delhi Central CIVIL LINES Burari AugurPz,2023-12-31,-0.2663009762763977
Delhi Central CIVIL LINES Burari AugurPz,2024-01-31,-0.16530174016952515
Delhi Central CIVIL LINES Burari AugurPz,2024-02-29,-0.6120095252990723
Delhi Central CIVIL LINES Burari AugurPz,2024-03-31,-0.9566829800605774
Delhi Central CIVIL LINES Burari AugurPz,2024-04-30,-0.31067031621932983
Delhi Central CIVIL LINES Burari AugurPz,2024-05-31,-0.24844178557395935
Delhi Central CIVIL LINES Burari AugurPz,2024-06-30,-0.5393179655075073
Delhi Central CIVIL LINES Burari AugurPz,2024-07-31,-1.8201932907104492
Delhi Central CIVIL LINES Burari AugurPz,2024-08-31,-1.7165864706039429
Delhi Central CIVIL LINES Burari AugurPz,2024-09-30,-1.6479625701904297
Delhi Central CIVIL LINES Burari AugurPz,2024-10-31,-1.6246302127838135
Delhi Central CIVIL LINES Burari AugurPz,2024-11-30,-0.6601758003234863
Delhi Central CIVIL LINES Burari AugurPz,2024-12-31,-0.41859573125839233
Delhi Central CIVIL LINES Burari AugurPz,2025-01-31,-0.7275291085243225
