stationName,Month,Monthly_Mean_Pressure
Delhi Central CIVIL LINES Jagatpur Pz 1,2022-12-31,99057.6953125
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-01-31,99265.3359375
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-02-28,98921.7578125
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-03-31,98782.8359375
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-04-30,98410.7578125
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-05-31,98126.484375
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-06-30,97663.890625
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-07-31,97643.203125
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-08-31,97687.203125
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-09-30,97988.0703125
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-10-31,98679.4609375
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-11-30,99089.640625
Delhi Central CIVIL LINES Jagatpur Pz 1,2023-12-31,99243.7421875
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-01-31,99284.8203125
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-02-29,99169.8359375
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-03-31,98797.0078125
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-04-30,98284.1015625
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-05-31,97798.8828125
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-06-30,97492.953125
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-07-31,97337.1171875
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-08-31,97780.0234375
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-09-30,97951.0
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-10-31,98500.9921875
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-11-30,98953.265625
Delhi Central CIVIL LINES Jagatpur Pz 1,2024-12-31,99132.6640625
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-01-31,99114.421875
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-02-28,98993.2890625
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-03-31,98648.3671875
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-04-30,98175.109375
Delhi Central CIVIL LINES Jagatpur Pz 1,2025-05-31,97787.0234375
