stationName,latitude,longitude,Soil_Type_Code
Delhi Central CIVIL LINES Jagatpur Pz 1,28.7399,77.2226,2.0
Delhi Central CIVIL LINES Burari AugurPz,28.7807,77.2015,2.0
Burari OJB Ex. Eng Office,28.7332,77.1974,2.0
Delhi East MAYUR VIHAR Chilla Regulator,28.5872,77.301,2.0
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,28.6281,77.3181,2.0
gazipur crossing pz,28.6281,77.3181,2.0
Delhi East PREET VIHAR Bank Enclave Pz,28.6411,77.2712,2.0
Delhi East PREET VIHAR Gujarat Vihar Pz,28.6423,77.2918,2.0
Delhi East Mayur vihar Kondli DJB WTP,28.6108,77.323,2.0
Delhi_East_Mayur Vihar_Chilla Saroda Pz,28.6168,77.3044,2.0
Delhi North ALIPUR Singhu Village Pz,28.8533,77.1311,2.0
Delhi North ALIPUR Alipur Garhi Pz,28.7981,77.1244,2.0
Delhi North ALIPUR Hiranki Village Pz,28.8014,77.1808,2.0
Tiggipur Shallow Pz_1,28.8147,77.1975,2.0
Delhi_South East_Kalkaji_Okhla DJB WTP,28.8347,77.0225,2.0
Coronation Pillar,28.7245,77.1925,2.0
Bakoli Deep Pz,28.8153,77.1517,2.0
Khera Kalan Pz_1,28.7694,77.1181,2.0
Delhi North ALIPUR Rohini Sector 28,28.7528,77.095,2.0
Bawana DJB JE Store,28.7869,77.03,2.0
Palla Temple_1,28.8225,77.2036,2.0
Narela DJB WTP,28.8367,77.1344,2.0
Tiggipur Deep Pz_1,28.8147,77.1972,2.0
Bakolishallow,28.8153,77.1517,2.0
Qatlupur_2,28.8412,77.0256,2.0
Kewal Park,28.7185,77.1812,2.0
Delhi North ALIPUR Palla Zero RD,28.8581,77.1964,2.0
Delhi_Shahdara_Shahdara_CBD Shahdara,28.6847,77.1994,2.0
Delhi North NARELA Barwala Pz,28.7583,77.0625,2.0
Delhi North ALIPUR Haiderpur Pz,28.7289,77.1469,2.0
Delhi North NARELA Bankner Pz,28.8514,77.0736,2.0
Delhi North NARELA Auchandi Pz,28.8194,76.9972,2.0
Bawana DJB WTP_1,28.8233,77.0536,2.0
Delhi North East SEELAM PUR Ushmanpur Pz,28.6849,77.2491,2.0
Sonia Vihar_1,28.7078,77.249,2.0
Nizampur_3,28.7194,76.9667,2.0
Sanjay Van Pz_1,28.6903,77.1419,2.0
Delhi North West SARASWATI VIHAR Qutabgarh Pz,28.8056,76.9647,2.0
Samaipur Badli,28.7406,77.1525,2.0
Sultanpur Dabas_1,28.765,77.0356,2.0
Sandesh Vihar Pz_1,28.695,77.1461,2.0
"Rohini, Sector-23",28.7239,77.0711,2.0
Rohini Sector 1Pz,28.7028,77.0981,2.0
Majara Dabas_1,28.7556,77.0058,2.0
Delhi North West ROHINI Rohini Sec 11 Pz,28.7322,77.1044,2.0
Delhi North West ROHINI Rithala Pz Sec5 Rohini,28.715,77.1017,2.0
Delhi North West SARASWATI VIHAR Sainik Vihar(Pz),28.6911,77.1219,2.0
Delhi_West_Rajouri Garden_Tagore Garden,28.6449,77.1078,2.0
Delhi North West ROHINI Mangolpuri Pz,28.6903,77.0792,2.0
vivek vihar(Pz)_1,28.6708,77.3131,2.0
Delhi_North East_Yamuna Vihar_Gokulpuri E Pz,28.6708,77.3131,2.0
Delhi South HAUZ KHAS Hauz Khas Pz,28.5472,77.2048,2.0
Delhi South MEHRAULI Gadaipur Pz,28.4769,77.1561,2.0
Delhi South SAKET Bhatti Pz,28.4278,77.2083,2.0
Delhi South HAUZ KHAS Pusp Vihar Pz,28.5271,77.2231,2.0
Delhi South West NAJAFGARH Najafgarh Town,28.6147,77.0006,3.0
Shikarpur Deep Pz,28.5244,76.9533,3.0
Shikarpur Shallow Pz,28.5247,76.9533,3.0
Delhi South West KAPESHERA Chhawla Pz,28.5464,77.0094,3.0
Surheda_2,28.6039,76.9322,3.0
Delhi South West KAPESHERA Daulatpur Pz,28.5431,76.9653,3.0
Ujwah Pz,28.5767,76.9142,3.0
Daryapur Khurd_1,28.5342,76.9086,3.0
Delhi South West DWARKA Dwarka S-16 (TP),28.5813,77.0242,3.0
"Delhi South West DWARKA Dwarka Sec-5,DDA Park Pz",28.595,77.0581,3.0
"Delhi South West DWARKA Dwarka Sec-23,DDA Park Pz",28.566,77.0505,3.0
Delhi South West NAJAFGARH Mandela Kalan Pz,28.6072,76.8939,3.0
Tikri Kalan Pz_1,28.6833,76.9694,2.0
Janakpuri Pz_1,28.63,77.0914,2.0
Delhi West PATEL NAGAR Vikashpuri Pz,28.6323,77.0749,3.0
Delhi West PUNJABI BAGH Peeragarhi Pz,28.6781,77.0947,2.0
PUSA (NRL) Pz,28.6392,77.1622,2.0
Delhi West RAJOURI GARDEN Mayapuri Pz,28.6185,77.1112,2.0
Keshopur DJB WTP,28.6525,77.0864,2.0
