stationName,latitude,longitude
Delhi Central CIVIL LINES Jagatpur Pz 1,28.7399,77.2226
Delhi Central CIVIL LINES Burari AugurPz,28.7807,77.2015
Burari OJB Ex. Eng Office,28.7332,77.1974
Delhi East MAYUR VIHAR Chilla Regulator,28.5872,77.301
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,28.6281,77.3181
gazipur crossing pz,28.6281,77.3181
Delhi East PREET VIHAR Bank Enclave Pz,28.6411,77.2712
Delhi East PREET VIHAR Gujarat Vihar Pz,28.6423,77.2918
Delhi East Mayur vihar Kondli DJB WTP,28.6108,77.323
Delhi_East_Mayur Vihar_Chilla Saroda Pz,28.6168,77.3044
Delhi North ALIPUR Singhu Village Pz,28.8533,77.1311
Delhi North ALIPUR Alipur Garhi Pz,28.7981,77.1244
Delhi North ALIPUR Hiranki Village Pz,28.8014,77.1808
Tiggipur Shallow Pz_1,28.8147,77.1975
Delhi_South East_Kalkaji_Okhla DJB WTP,28.8347,77.0225
Coronation Pillar,28.7245,77.1925
Bakoli Deep Pz,28.8153,77.1517
Khera Kalan Pz_1,28.7694,77.1181
Delhi North ALIPUR Rohini Sector 28,28.7528,77.095
Bawana DJB JE Store,28.7869,77.03
Palla Temple_1,28.8225,77.2036
Narela DJB WTP,28.8367,77.1344
Tiggipur Deep Pz_1,28.8147,77.1972
Bakolishallow,28.8153,77.1517
Qatlupur_2,28.8412,77.0256
Kewal Park,28.7185,77.1812
Delhi North ALIPUR Palla Zero RD,28.8581,77.1964
Delhi_Shahdara_Shahdara_CBD Shahdara,28.6847,77.1994
Delhi North NARELA Barwala Pz,28.7583,77.0625
Delhi North ALIPUR Haiderpur Pz,28.7289,77.1469
Delhi North NARELA Bankner Pz,28.8514,77.0736
Delhi North NARELA Auchandi Pz,28.8194,76.9972
Bawana DJB WTP_1,28.8233,77.0536
Delhi North East SEELAM PUR Ushmanpur Pz,28.6849,77.2491
Sonia Vihar_1,28.7078,77.249
Nizampur_3,28.7194,76.9667
Sanjay Van Pz_1,28.6903,77.1419
Delhi North West SARASWATI VIHAR Qutabgarh Pz,28.8056,76.9647
Samaipur Badli,28.7406,77.1525
Sultanpur Dabas_1,28.765,77.0356
Sandesh Vihar Pz_1,28.695,77.1461
"Rohini, Sector-23",28.7239,77.0711
Rohini Sector 1Pz,28.7028,77.0981
Majara Dabas_1,28.7556,77.0058
Delhi North West ROHINI Rohini Sec 11 Pz,28.7322,77.1044
Delhi North West ROHINI Rithala Pz Sec5 Rohini,28.715,77.1017
Delhi North West SARASWATI VIHAR Sainik Vihar(Pz),28.6911,77.1219
Delhi_West_Rajouri Garden_Tagore Garden,28.6449,77.1078
Delhi North West ROHINI Mangolpuri Pz,28.6903,77.0792
vivek vihar(Pz)_1,28.6708,77.3131
Delhi_North East_Yamuna Vihar_Gokulpuri E Pz,28.6708,77.3131
Delhi South HAUZ KHAS Hauz Khas Pz,28.5472,77.2048
Delhi South MEHRAULI Gadaipur Pz,28.4769,77.1561
Delhi South SAKET Bhatti Pz,28.4278,77.2083
Delhi South HAUZ KHAS Pusp Vihar Pz,28.5271,77.2231
Delhi South West NAJAFGARH Najafgarh Town,28.6147,77.0006
Shikarpur Deep Pz,28.5244,76.9533
Shikarpur Shallow Pz,28.5247,76.9533
Delhi South West KAPESHERA Chhawla Pz,28.5464,77.0094
Surheda_2,28.6039,76.9322
Delhi South West KAPESHERA Daulatpur Pz,28.5431,76.9653
Ujwah Pz,28.5767,76.9142
Daryapur Khurd_1,28.5342,76.9086
Delhi South West DWARKA Dwarka S-16 (TP),28.5813,77.0242
"Delhi South West DWARKA Dwarka Sec-5,DDA Park Pz",28.595,77.0581
"Delhi South West DWARKA Dwarka Sec-23,DDA Park Pz",28.566,77.0505
Delhi South West NAJAFGARH Mandela Kalan Pz,28.6072,76.8939
Tikri Kalan Pz_1,28.6833,76.9694
Janakpuri Pz_1,28.63,77.0914
Delhi West PATEL NAGAR Vikashpuri Pz,28.6323,77.0749
Delhi West PUNJABI BAGH Peeragarhi Pz,28.6781,77.0947
PUSA (NRL) Pz,28.6392,77.1622
Delhi West RAJOURI GARDEN Mayapuri Pz,28.6185,77.1112
Keshopur DJB WTP,28.6525,77.0864
